"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Mandarina v4","7500000000341","Frutas","2027-04-18","Del Monte",35.55,462
"Uva Verde v4","7500000000342","Frutas","2025-10-28","Dole",37.30,46
"Uva Morada v4","7500000000343","Frutas","2027-05-22","Fresh",9.70,165
"Mango Ataulfo v4","7500000000344","Frutas","2025-08-04","Campo Bello",11.21,410
"Papaya v4","7500000000345","Frutas","2025-12-01","La Huerta",36.76,388
"Melon v4","7500000000346","Frutas","2027-07-06","Del Monte",10.28,306
"Sandia v4","7500000000347","Frutas","2027-07-01","Dole",16.35,70
"Fresa v4","7500000000348","Frutas","2028-01-22","Fresh",20.15,136
"Manzana Roja v5","7500000000349","Frutas","2028-08-05","Campo Bello",15.61,169
"Manzana Verde v5","7500000000350","Frutas","2028-03-13","La Huerta",5.57,272
"Platano v5","7500000000351","Frutas","2028-01-16","Del Monte",17.43,217
"Naranja v5","7500000000352","Frutas","2026-07-28","Dole",15.47,481
"Mandarina v5","7500000000353","Frutas","2027-01-27","Fresh",38.61,156
"Uva Verde v5","7500000000354","Frutas","2027-12-14","Campo Bello",7.09,357
"Uva Morada v5","7500000000355","Frutas","2025-04-06","La Huerta",13.06,80
"Mango Ataulfo v5","7500000000356","Frutas","2025-08-14","Del Monte",19.31,206
"Papaya v5","7500000000357","Frutas","2025-01-17","Dole",38.82,89
"Melon v5","7500000000358","Frutas","2028-11-22","Fresh",7.30,30
"Sandia v5","7500000000359","Frutas","2028-11-25","Campo Bello",25.98,33
"Fresa v5","7500000000360","Frutas","2028-12-09","La Huerta",21.09,272
"Manzana Roja v6","7500000000361","Frutas","2027-08-25","Del Monte",30.12,397
"Manzana Verde v6","7500000000362","Frutas","2028-10-07","Dole",29.22,212
"Platano v6","7500000000363","Frutas","2027-05-05","Fresh",8.90,321
"Naranja v6","7500000000364","Frutas","2025-10-02","Campo Bello",11.02,45
"Mandarina v6","7500000000365","Frutas","2026-08-11","La Huerta",31.86,57
"Uva Verde v6","7500000000366","Frutas","2027-11-18","Del Monte",19.26,136
"Uva Morada v6","7500000000367","Frutas","2026-11-04","Dole",32.87,321
"Mango Ataulfo v6","7500000000368","Frutas","2027-08-22","Fresh",17.73,383
"Papaya v6","7500000000369","Frutas","2026-10-06","Campo Bello",20.57,220
"Melon v6","7500000000370","Frutas","2026-03-13","La Huerta",37.91,26
"Sandia v6","7500000000371","Frutas","2028-06-17","Del Monte",22.04,443
"Fresa v6","7500000000372","Frutas","2025-03-22","Dole",19.00,40
"Manzana Roja v7","7500000000373","Frutas","2025-08-11","Fresh",9.70,207
"Manzana Verde v7","7500000000374","Frutas","2027-09-19","Campo Bello",30.96,156
"Platano v7","7500000000375","Frutas","2026-08-14","La Huerta",5.32,300
"Naranja v7","7500000000376","Frutas","2027-09-24","Del Monte",5.78,380
"Mandarina v7","7500000000377","Frutas","2027-11-01","Dole",24.35,379
"Uva Verde v7","7500000000378","Frutas","2026-05-11","Fresh",34.82,462
"Uva Morada v7","7500000000379","Frutas","2027-07-05","Campo Bello",30.46,62
"Mango Ataulfo v7","7500000000380","Frutas","2025-09-10","La Huerta",11.30,321
"Papaya v7","7500000000381","Frutas","2027-11-07","Del Monte",16.83,188
"Melon v7","7500000000382","Frutas","2028-03-07","Dole",36.03,130
"Sandia v7","7500000000383","Frutas","2027-05-24","Fresh",11.02,254
"Fresa v7","7500000000384","Frutas","2028-08-16","Campo Bello",36.44,197
"Manzana Roja v8","7500000000385","Frutas","2027-08-01","La Huerta",35.95,436
"Manzana Verde v8","7500000000386","Frutas","2026-05-18","Del Monte",34.04,44
"Platano v8","7500000000387","Frutas","2026-01-26","Dole",10.98,36
"Naranja v8","7500000000388","Frutas","2028-06-03","Fresh",16.50,27
"Mandarina v8","7500000000389","Frutas","2028-12-28","Campo Bello",24.19,39
"Uva Verde v8","7500000000390","Frutas","2027-01-10","La Huerta",18.98,257
"Uva Morada v8","7500000000391","Frutas","2027-02-26","Del Monte",19.88,426
"Mango Ataulfo v8","7500000000392","Frutas","2027-01-05","Dole",6.24,430
"Papaya v8","7500000000393","Frutas","2025-01-28","Fresh",18.88,430
"Melon v8","7500000000394","Frutas","2026-03-06","Campo Bello",12.67,284
"Sandia v8","7500000000395","Frutas","2025-06-16","La Huerta",11.52,79
"Fresa v8","7500000000396","Frutas","2026-08-05","Del Monte",7.17,380
"Manzana Roja v9","7500000000397","Frutas","2026-01-22","Dole",18.51,366
"Manzana Verde v9","7500000000398","Frutas","2026-12-03","Fresh",19.42,112
"Platano v9","7500000000399","Frutas","2028-01-20","Campo Bello",29.87,357
"Naranja v9","7500000000400","Frutas","2026-12-22","La Huerta",26.62,499
"Tomate Rojo","7500000000401","Verduras","2026-07-17","Del Monte",16.19,223
"Tomate Verde","7500000000402","Verduras","2028-09-08","Herdez",26.37,370
"Chile Serrano","7500000000403","Verduras","2028-05-24","La Costeña",29.52,441
"Chile Habanero","7500000000404","Verduras","2027-08-15","McCormick",30.31,353
"Cebolla Blanca","7500000000405","Verduras","2025-11-22","Local",17.41,358
"Cebolla Morada","7500000000406","Verduras","2026-03-18","Del Monte",20.57,249
"Papa Blanca","7500000000407","Verduras","2026-01-16","Herdez",20.66,151
"Papa Cambray","7500000000408","Verduras","2028-01-12","La Costeña",34.15,262
"Zanahoria","7500000000409","Verduras","2027-10-02","McCormick",31.49,343
"Brocoli","7500000000410","Verduras","2027-03-22","Local",34.04,433
"Coliflor","7500000000411","Verduras","2025-01-14","Del Monte",7.86,486
"Lechuga","7500000000412","Verduras","2026-01-21","Herdez",21.99,241
"Tomate Rojo v2","7500000000413","Verduras","2025-09-09","La Costeña",17.21,285
"Tomate Verde v2","7500000000414","Verduras","2026-10-05","McCormick",27.07,379
"Chile Serrano v2","7500000000415","Verduras","2027-10-11","Local",5.14,58
"Chile Habanero v2","7500000000416","Verduras","2028-01-12","Del Monte",11.80,215
"Cebolla Blanca v2","7500000000417","Verduras","2027-07-24","Herdez",27.63,374
"Cebolla Morada v2","7500000000418","Verduras","2028-01-20","La Costeña",8.80,297
"Papa Blanca v2","7500000000419","Verduras","2027-01-15","McCormick",14.56,109
"Papa Cambray v2","7500000000420","Verduras","2027-05-22","Local",6.25,69
"Zanahoria v2","7500000000421","Verduras","2027-11-11","Del Monte",25.31,254
"Brocoli v2","7500000000422","Verduras","2027-02-09","Herdez",9.66,254
"Coliflor v2","7500000000423","Verduras","2027-09-04","La Costeña",19.05,233
"Lechuga v2","7500000000424","Verduras","2025-10-05","McCormick",31.28,89
"Tomate Rojo v3","7500000000425","Verduras","2026-07-04","Local",21.52,282
"Tomate Verde v3","7500000000426","Verduras","2027-12-04","Del Monte",28.89,10
"Chile Serrano v3","7500000000427","Verduras","2028-05-13","Herdez",22.34,114
"Chile Habanero v3","7500000000428","Verduras","2028-11-21","La Costeña",7.74,218
"Cebolla Blanca v3","7500000000429","Verduras","2025-07-23","McCormick",23.61,93
"Cebolla Morada v3","7500000000430","Verduras","2026-02-15","Local",24.25,313
"Papa Blanca v3","7500000000431","Verduras","2028-12-17","Del Monte",33.69,266
"Papa Cambray v3","7500000000432","Verduras","2027-11-10","Herdez",23.29,137
"Zanahoria v3","7500000000433","Verduras","2027-12-20","La Costeña",5.03,111
"Brocoli v3","7500000000434","Verduras","2025-07-08","McCormick",15.04,194
"Coliflor v3","7500000000435","Verduras","2028-09-04","Local",14.93,483
"Lechuga v3","7500000000436","Verduras","2026-02-21","Del Monte",22.22,434
"Tomate Rojo v4","7500000000437","Verduras","2026-08-16","Herdez",27.54,420
"Tomate Verde v4","7500000000438","Verduras","2027-12-14","La Costeña",27.16,266
"Chile Serrano v4","7500000000439","Verduras","2027-12-23","McCormick",18.19,496
"Chile Habanero v4","7500000000440","Verduras","2027-10-25","Local",23.70,473
"Cebolla Blanca v4","7500000000441","Verduras","2027-11-28","Del Monte",13.61,474
"Cebolla Morada v4","7500000000442","Verduras","2027-01-04","Herdez",8.81,171
"Papa Blanca v4","7500000000443","Verduras","2028-08-13","La Costeña",28.83,373
"Papa Cambray v4","7500000000444","Verduras","2025-09-01","McCormick",26.35,274
"Zanahoria v4","7500000000445","Verduras","2028-11-09","Local",5.16,451
"Brocoli v4","7500000000446","Verduras","2027-11-01","Del Monte",25.25,163
"Coliflor v4","7500000000447","Verduras","2025-02-27","Herdez",19.56,429
"Lechuga v4","7500000000448","Verduras","2026-05-25","La Costeña",26.60,210
"Tomate Rojo v5","7500000000449","Verduras","2025-12-05","McCormick",6.96,456
"Tomate Verde v5","7500000000450","Verduras","2025-07-23","Local",17.97,151
"Chile Serrano v5","7500000000451","Verduras","2028-07-12","Del Monte",15.18,102
"Chile Habanero v5","7500000000452","Verduras","2028-11-20","Herdez",33.25,170
"Cebolla Blanca v5","7500000000453","Verduras","2026-10-14","La Costeña",33.99,366
"Cebolla Morada v5","7500000000454","Verduras","2028-08-11","McCormick",9.04,481
"Papa Blanca v5","7500000000455","Verduras","2027-01-17","Local",8.92,291
"Papa Cambray v5","7500000000456","Verduras","2027-06-19","Del Monte",30.42,24
"Zanahoria v5","7500000000457","Verduras","2025-05-26","Herdez",6.53,454
"Brocoli v5","7500000000458","Verduras","2025-12-09","La Costeña",16.26,213
"Coliflor v5","7500000000459","Verduras","2025-06-26","McCormick",23.51,496
"Lechuga v5","7500000000460","Verduras","2027-05-27","Local",19.02,105
"Tomate Rojo v6","7500000000461","Verduras","2028-06-03","Del Monte",13.65,291
"Tomate Verde v6","7500000000462","Verduras","2026-06-23","Herdez",9.26,107
"Chile Serrano v6","7500000000463","Verduras","2025-11-02","La Costeña",20.16,186
"Chile Habanero v6","7500000000464","Verduras","2028-01-11","McCormick",31.20,390
"Cebolla Blanca v6","7500000000465","Verduras","2026-07-21","Local",24.62,459
"Cebolla Morada v6","7500000000466","Verduras","2028-09-03","Del Monte",23.60,213
"Papa Blanca v6","7500000000467","Verduras","2027-04-21","Herdez",34.48,247
"Papa Cambray v6","7500000000468","Verduras","2025-12-10","La Costeña",27.26,371
"Zanahoria v6","7500000000469","Verduras","2028-05-09","McCormick",14.38,492
"Brocoli v6","7500000000470","Verduras","2028-02-11","Local",26.68,311
"Coliflor v6","7500000000471","Verduras","2028-12-08","Del Monte",21.92,188
"Lechuga v6","7500000000472","Verduras","2025-10-22","Herdez",10.72,133
"Tomate Rojo v7","7500000000473","Verduras","2027-10-04","La Costeña",11.39,323
"Tomate Verde v7","7500000000474","Verduras","2026-08-24","McCormick",15.83,60
"Chile Serrano v7","7500000000475","Verduras","2028-04-10","Local",17.06,323
"Chile Habanero v7","7500000000476","Verduras","2025-06-23","Del Monte",18.08,54
"Cebolla Blanca v7","7500000000477","Verduras","2027-09-21","Herdez",34.04,164
"Cebolla Morada v7","7500000000478","Verduras","2028-08-21","La Costeña",29.34,144
"Papa Blanca v7","7500000000479","Verduras","2026-12-24","McCormick",33.75,319
"Papa Cambray v7","7500000000480","Verduras","2025-06-23","Local",26.85,384
"Zanahoria v7","7500000000481","Verduras","2028-11-15","Del Monte",14.00,311
"Brocoli v7","7500000000482","Verduras","2027-10-25","Herdez",29.17,282
"Coliflor v7","7500000000483","Verduras","2026-02-13","La Costeña",28.98,171
"Lechuga v7","7500000000484","Verduras","2025-01-01","McCormick",8.71,190
"Tomate Rojo v8","7500000000485","Verduras","2027-05-20","Local",16.09,34
"Tomate Verde v8","7500000000486","Verduras","2025-02-20","Del Monte",6.96,441
"Chile Serrano v8","7500000000487","Verduras","2026-04-08","Herdez",27.56,13
"Chile Habanero v8","7500000000488","Verduras","2026-11-26","La Costeña",10.10,260
"Cebolla Blanca v8","7500000000489","Verduras","2027-10-08","McCormick",8.49,333
"Cebolla Morada v8","7500000000490","Verduras","2026-08-12","Local",18.06,120
"Papa Blanca v8","7500000000491","Verduras","2026-04-24","Del Monte",24.02,61
"Papa Cambray v8","7500000000492","Verduras","2028-01-03","Herdez",31.03,273
"Zanahoria v8","7500000000493","Verduras","2028-01-03","La Costeña",24.62,363
"Brocoli v8","7500000000494","Verduras","2027-02-27","McCormick",20.71,325
"Coliflor v8","7500000000495","Verduras","2026-11-23","Local",21.18,312
"Lechuga v8","7500000000496","Verduras","2025-08-25","Del Monte",25.50,21
"Tomate Rojo v9","7500000000497","Verduras","2026-12-19","Herdez",26.03,130
"Tomate Verde v9","7500000000498","Verduras","2027-09-16","La Costeña",25.83,447
"Chile Serrano v9","7500000000499","Verduras","2026-12-12","McCormick",12.15,353
"Chile Habanero v9","7500000000500","Verduras","2027-11-02","Local",32.51,170
"Pechuga Pollo","7500000000501","Carnes","2025-04-11","Sigma",171.14,235
"Muslo Pollo","7500000000502","Carnes","2028-09-12","FUD",115.66,260
"Filete Res","7500000000503","Carnes","2028-01-09","San Rafael",113.37,39
"Molida Res","7500000000504","Carnes","2026-07-12","Bachoco",150.95,71
"Chuleta Cerdo","7500000000505","Carnes","2026-12-24","Pilgrim",54.18,59
"Lomo Cerdo","7500000000506","Carnes","2028-05-06","Sigma",175.80,351
"Jamon Serrano","7500000000507","Carnes","2028-07-25","FUD",81.77,383
"Salchicha Frankfurt","7500000000508","Carnes","2026-12-21","San Rafael",148.76,315
"Chorizo","7500000000509","Carnes","2027-03-02","Bachoco",84.93,172
"Tocino","7500000000510","Carnes","2028-07-16","Pilgrim",186.18,156
"Mortadela","7500000000511","Carnes","2026-11-05","Sigma",77.47,176
"Salami","7500000000512","Carnes","2026-03-12","FUD",102.97,477
"Pechuga Pollo v2","7500000000513","Carnes","2028-02-28","San Rafael",183.46,36
"Muslo Pollo v2","7500000000514","Carnes","2025-10-15","Bachoco",134.44,207
"Filete Res v2","7500000000515","Carnes","2025-04-25","Pilgrim",57.69,227
"Molida Res v2","7500000000516","Carnes","2026-10-28","Sigma",161.99,149
"Chuleta Cerdo v2","7500000000517","Carnes","2027-11-15","FUD",82.96,141
"Lomo Cerdo v2","7500000000518","Carnes","2026-09-26","San Rafael",125.62,260
"Jamon Serrano v2","7500000000519","Carnes","2027-03-17","Bachoco",64.75,367
"Salchicha Frankfurt v2","7500000000520","Carnes","2025-06-04","Pilgrim",167.19,491
"Chorizo v2","7500000000521","Carnes","2027-11-12","Sigma",177.79,30
"Tocino v2","7500000000522","Carnes","2026-04-16","FUD",72.48,138
"Mortadela v2","7500000000523","Carnes","2025-04-26","San Rafael",179.19,190
"Salami v2","7500000000524","Carnes","2026-05-21","Bachoco",198.37,179
"Pechuga Pollo v3","7500000000525","Carnes","2028-09-05","Pilgrim",148.42,115
"Muslo Pollo v3","7500000000526","Carnes","2028-01-21","Sigma",159.80,307
"Filete Res v3","7500000000527","Carnes","2026-03-02","FUD",127.11,227
"Molida Res v3","7500000000528","Carnes","2028-11-05","San Rafael",162.19,282
"Chuleta Cerdo v3","7500000000529","Carnes","2025-10-05","Bachoco",74.25,213
"Lomo Cerdo v3","7500000000530","Carnes","2026-03-07","Pilgrim",183.59,471
"Jamon Serrano v3","7500000000531","Carnes","2025-03-07","Sigma",123.72,386
"Salchicha Frankfurt v3","7500000000532","Carnes","2026-04-17","FUD",45.84,261
"Chorizo v3","7500000000533","Carnes","2027-10-03","San Rafael",133.98,438
"Tocino v3","7500000000534","Carnes","2025-06-12","Bachoco",41.82,374
"Mortadela v3","7500000000535","Carnes","2028-08-09","Pilgrim",116.71,53
"Salami v3","7500000000536","Carnes","2025-02-11","Sigma",177.70,430
"Pechuga Pollo v4","7500000000537","Carnes","2025-07-12","FUD",113.85,25
"Muslo Pollo v4","7500000000538","Carnes","2027-05-16","San Rafael",49.61,491
"Filete Res v4","7500000000539","Carnes","2028-12-15","Bachoco",53.55,487
"Molida Res v4","7500000000540","Carnes","2027-02-08","Pilgrim",182.61,149
"Chuleta Cerdo v4","7500000000541","Carnes","2028-09-01","Sigma",174.41,481
"Lomo Cerdo v4","7500000000542","Carnes","2028-07-16","FUD",59.06,23
"Jamon Serrano v4","7500000000543","Carnes","2027-01-27","San Rafael",40.42,201
"Salchicha Frankfurt v4","7500000000544","Carnes","2026-05-19","Bachoco",121.50,464
"Chorizo v4","7500000000545","Carnes","2028-12-25","Pilgrim",80.62,401
"Tocino v4","7500000000546","Carnes","2027-07-16","Sigma",158.56,46
"Mortadela v4","7500000000547","Carnes","2026-07-10","FUD",145.96,46
"Salami v4","7500000000548","Carnes","2028-02-23","San Rafael",69.29,173
"Pechuga Pollo v5","7500000000549","Carnes","2025-05-14","Bachoco",88.09,255
"Muslo Pollo v5","7500000000550","Carnes","2028-03-15","Pilgrim",166.63,378
"Filete Res v5","7500000000551","Carnes","2025-09-17","Sigma",105.90,55
"Molida Res v5","7500000000552","Carnes","2025-02-25","FUD",67.98,436
"Chuleta Cerdo v5","7500000000553","Carnes","2027-05-15","San Rafael",122.49,133
"Lomo Cerdo v5","7500000000554","Carnes","2028-11-05","Bachoco",158.01,104
"Jamon Serrano v5","7500000000555","Carnes","2028-02-17","Pilgrim",125.12,347
"Salchicha Frankfurt v5","7500000000556","Carnes","2027-12-09","Sigma",121.83,333
"Chorizo v5","7500000000557","Carnes","2028-12-17","FUD",196.96,114
"Tocino v5","7500000000558","Carnes","2027-09-03","San Rafael",142.97,275
"Mortadela v5","7500000000559","Carnes","2028-11-21","Bachoco",118.42,20
"Salami v5","7500000000560","Carnes","2027-09-03","Pilgrim",98.96,191
"Pechuga Pollo v6","7500000000561","Carnes","2027-10-03","Sigma",59.38,218
"Muslo Pollo v6","7500000000562","Carnes","2028-09-08","FUD",183.58,471
"Filete Res v6","7500000000563","Carnes","2028-05-27","San Rafael",155.46,116
"Molida Res v6","7500000000564","Carnes","2026-01-28","Bachoco",49.58,196
"Chuleta Cerdo v6","7500000000565","Carnes","2028-06-14","Pilgrim",181.20,69
"Lomo Cerdo v6","7500000000566","Carnes","2025-08-14","Sigma",102.12,144
"Jamon Serrano v6","7500000000567","Carnes","2027-03-12","FUD",198.90,133
"Salchicha Frankfurt v6","7500000000568","Carnes","2028-11-12","San Rafael",139.17,141
"Chorizo v6","7500000000569","Carnes","2026-05-23","Bachoco",132.60,54
"Tocino v6","7500000000570","Carnes","2025-10-15","Pilgrim",186.72,215
"Mortadela v6","7500000000571","Carnes","2026-11-19","Sigma",121.59,15
"Salami v6","7500000000572","Carnes","2026-02-17","FUD",154.34,215
"Pechuga Pollo v7","7500000000573","Carnes","2026-10-19","San Rafael",49.32,119
"Muslo Pollo v7","7500000000574","Carnes","2025-09-06","Bachoco",166.91,243
"Filete Res v7","7500000000575","Carnes","2025-11-22","Pilgrim",84.66,464
"Molida Res v7","7500000000576","Carnes","2026-09-23","Sigma",156.59,460
"Chuleta Cerdo v7","7500000000577","Carnes","2026-05-21","FUD",85.44,371
"Lomo Cerdo v7","7500000000578","Carnes","2027-12-26","San Rafael",79.57,152
"Jamon Serrano v7","7500000000579","Carnes","2028-07-16","Bachoco",118.92,411
"Salchicha Frankfurt v7","7500000000580","Carnes","2028-12-02","Pilgrim",52.56,371
"Chorizo v7","7500000000581","Carnes","2027-09-04","Sigma",53.49,299
"Tocino v7","7500000000582","Carnes","2028-09-19","FUD",179.93,339
"Mortadela v7","7500000000583","Carnes","2027-12-08","San Rafael",182.50,367
"Salami v7","7500000000584","Carnes","2026-03-21","Bachoco",65.32,429
"Pechuga Pollo v8","7500000000585","Carnes","2027-10-17","Pilgrim",161.45,417
"Muslo Pollo v8","7500000000586","Carnes","2027-06-19","Sigma",102.39,336
"Filete Res v8","7500000000587","Carnes","2025-11-14","FUD",130.67,403
"Molida Res v8","7500000000588","Carnes","2027-04-13","San Rafael",123.33,80
"Chuleta Cerdo v8","7500000000589","Carnes","2028-05-21","Bachoco",109.59,285
"Lomo Cerdo v8","7500000000590","Carnes","2028-03-14","Pilgrim",101.43,192
"Jamon Serrano v8","7500000000591","Carnes","2028-01-20","Sigma",105.82,232
"Salchicha Frankfurt v8","7500000000592","Carnes","2028-03-10","FUD",136.80,33
"Chorizo v8","7500000000593","Carnes","2028-07-17","San Rafael",102.32,468
"Tocino v8","7500000000594","Carnes","2026-07-19","Bachoco",178.85,97
"Mortadela v8","7500000000595","Carnes","2027-12-03","Pilgrim",83.41,451
"Salami v8","7500000000596","Carnes","2027-04-16","Sigma",50.66,26
"Pechuga Pollo v9","7500000000597","Carnes","2027-12-25","FUD",58.64,310
"Muslo Pollo v9","7500000000598","Carnes","2026-12-18","San Rafael",74.39,31
"Filete Res v9","7500000000599","Carnes","2028-08-25","Bachoco",46.56,127
"Molida Res v9","7500000000600","Carnes","2028-03-24","Pilgrim",148.80,257
"Pan Blanco","7500000000601","Panaderia","2027-01-25","Bimbo",33.70,264
"Pan Integral","7500000000602","Panaderia","2027-08-04","Marinela",32.30,164
"Pan Centeno","7500000000603","Panaderia","2027-08-04","Wonder",11.52,399
"Bolillo","7500000000604","Panaderia","2026-01-08","Silueta",30.82,151
"Telera","7500000000605","Panaderia","2025-10-14","Pan Ideal",19.05,335
"Baguette","7500000000606","Panaderia","2025-10-27","Bimbo",38.02,52
"Galleta Maria","7500000000607","Panaderia","2028-01-13","Marinela",15.69,98
"Galleta Chocolate","7500000000608","Panaderia","2028-02-01","Wonder",44.30,61
"Galleta Avena","7500000000609","Panaderia","2025-06-21","Silueta",9.64,447
"Dona Azucar","7500000000610","Panaderia","2025-09-19","Pan Ideal",29.44,245
"Cuernito","7500000000611","Panaderia","2028-07-22","Bimbo",43.33,293
"Concha","7500000000612","Panaderia","2025-06-13","Marinela",38.28,263
"Pan Blanco v2","7500000000613","Panaderia","2026-05-01","Wonder",11.43,345
"Pan Integral v2","7500000000614","Panaderia","2025-01-01","Silueta",18.69,148
"Pan Centeno v2","7500000000615","Panaderia","2028-07-24","Pan Ideal",36.79,133
"Bolillo v2","7500000000616","Panaderia","2025-08-15","Bimbo",25.30,99
"Telera v2","7500000000617","Panaderia","2027-01-04","Marinela",17.40,133
"Baguette v2","7500000000618","Panaderia","2026-08-23","Wonder",21.99,209
"Galleta Maria v2","7500000000619","Panaderia","2025-06-15","Silueta",32.30,259
"Galleta Chocolate v2","7500000000620","Panaderia","2028-09-13","Pan Ideal",25.53,326
"Galleta Avena v2","7500000000621","Panaderia","2027-11-15","Bimbo",44.34,20
"Dona Azucar v2","7500000000622","Panaderia","2025-09-19","Marinela",28.74,208
"Cuernito v2","7500000000623","Panaderia","2025-05-21","Wonder",44.43,292
"Concha v2","7500000000624","Panaderia","2027-07-08","Silueta",14.27,398
"Pan Blanco v3","7500000000625","Panaderia","2027-02-15","Pan Ideal",28.09,184
"Pan Integral v3","7500000000626","Panaderia","2026-02-28","Bimbo",40.86,472
"Pan Centeno v3","7500000000627","Panaderia","2026-11-12","Marinela",43.14,388
"Bolillo v3","7500000000628","Panaderia","2025-08-24","Wonder",34.16,45
"Telera v3","7500000000629","Panaderia","2027-10-22","Silueta",27.31,281
"Baguette v3","7500000000630","Panaderia","2028-03-16","Pan Ideal",26.01,401
"Galleta Maria v3","7500000000631","Panaderia","2025-11-28","Bimbo",25.43,193
"Galleta Chocolate v3","7500000000632","Panaderia","2026-10-14","Marinela",36.92,204
"Galleta Avena v3","7500000000633","Panaderia","2026-12-01","Wonder",42.15,393
"Dona Azucar v3","7500000000634","Panaderia","2028-08-20","Silueta",22.06,132
"Cuernito v3","7500000000635","Panaderia","2026-10-08","Pan Ideal",42.18,289
"Concha v3","7500000000636","Panaderia","2027-02-22","Bimbo",33.47,475
"Pan Blanco v4","7500000000637","Panaderia","2026-01-27","Marinela",15.82,308
"Pan Integral v4","7500000000638","Panaderia","2026-10-28","Wonder",24.07,257
"Pan Centeno v4","7500000000639","Panaderia","2026-09-24","Silueta",21.66,456
"Bolillo v4","7500000000640","Panaderia","2027-05-01","Pan Ideal",29.06,229
"Telera v4","7500000000641","Panaderia","2028-11-04","Bimbo",40.85,54
"Baguette v4","7500000000642","Panaderia","2027-11-22","Marinela",31.42,37
"Galleta Maria v4","7500000000643","Panaderia","2026-04-24","Wonder",17.34,422
"Galleta Chocolate v4","7500000000644","Panaderia","2027-05-15","Silueta",29.55,144
"Galleta Avena v4","7500000000645","Panaderia","2028-04-01","Pan Ideal",41.96,485
"Dona Azucar v4","7500000000646","Panaderia","2026-05-06","Bimbo",36.65,143
"Cuernito v4","7500000000647","Panaderia","2026-01-13","Marinela",10.21,328
"Concha v4","7500000000648","Panaderia","2025-08-28","Wonder",42.02,106
"Pan Blanco v5","7500000000649","Panaderia","2026-09-15","Silueta",12.72,81
"Pan Integral v5","7500000000650","Panaderia","2027-05-11","Pan Ideal",15.83,165
"Pan Centeno v5","7500000000651","Panaderia","2026-06-14","Bimbo",17.57,191
"Bolillo v5","7500000000652","Panaderia","2027-01-06","Marinela",14.90,335
"Telera v5","7500000000653","Panaderia","2027-12-13","Wonder",29.62,373
"Baguette v5","7500000000654","Panaderia","2025-04-28","Silueta",38.70,10
"Galleta Maria v5","7500000000655","Panaderia","2028-11-19","Pan Ideal",11.67,32
"Galleta Chocolate v5","7500000000656","Panaderia","2028-11-25","Bimbo",34.51,339
"Galleta Avena v5","7500000000657","Panaderia","2028-10-21","Marinela",32.76,54
"Dona Azucar v5","7500000000658","Panaderia","2026-05-11","Wonder",16.07,152
"Cuernito v5","7500000000659","Panaderia","2027-09-02","Silueta",25.11,489
"Concha v5","7500000000660","Panaderia","2027-08-11","Pan Ideal",17.99,465
"Pan Blanco v6","7500000000661","Panaderia","2028-07-01","Bimbo",36.27,114
"Pan Integral v6","7500000000662","Panaderia","2026-02-16","Marinela",12.13,351
"Pan Centeno v6","7500000000663","Panaderia","2025-10-05","Wonder",18.25,396
"Bolillo v6","7500000000664","Panaderia","2028-09-27","Silueta",32.54,115
"Telera v6","7500000000665","Panaderia","2026-01-28","Pan Ideal",13.34,200
"Baguette v6","7500000000666","Panaderia","2027-10-28","Bimbo",28.87,463
"Galleta Maria v6","7500000000667","Panaderia","2027-08-23","Marinela",41.57,197
"Galleta Chocolate v6","7500000000668","Panaderia","2025-11-08","Wonder",13.41,214
"Galleta Avena v6","7500000000669","Panaderia","2025-12-19","Silueta",27.30,451
"Dona Azucar v6","7500000000670","Panaderia","2028-06-23","Pan Ideal",8.86,236
"Cuernito v6","7500000000671","Panaderia","2027-07-24","Bimbo",38.18,283
"Concha v6","7500000000672","Panaderia","2027-05-22","Marinela",30.69,320
"Pan Blanco v7","7500000000673","Panaderia","2028-11-18","Wonder",10.59,304
"Pan Integral v7","7500000000674","Panaderia","2027-05-11","Silueta",26.47,264
"Pan Centeno v7","7500000000675","Panaderia","2028-06-09","Pan Ideal",39.67,25
"Bolillo v7","7500000000676","Panaderia","2026-09-03","Bimbo",21.37,217
"Telera v7","7500000000677","Panaderia","2027-04-06","Marinela",14.12,126
"Baguette v7","7500000000678","Panaderia","2028-01-08","Wonder",9.38,348
"Galleta Maria v7","7500000000679","Panaderia","2027-09-24","Silueta",18.51,221
"Galleta Chocolate v7","7500000000680","Panaderia","2025-01-14","Pan Ideal",20.64,20
"Galleta Avena v7","7500000000681","Panaderia","2025-03-23","Bimbo",20.90,260
"Dona Azucar v7","7500000000682","Panaderia","2026-07-23","Marinela",19.56,428
"Cuernito v7","7500000000683","Panaderia","2028-04-15","Wonder",43.26,145
"Concha v7","7500000000684","Panaderia","2025-11-19","Silueta",20.23,149
"Pan Blanco v8","7500000000685","Panaderia","2027-09-27","Pan Ideal",32.78,306
"Pan Integral v8","7500000000686","Panaderia","2028-02-15","Bimbo",30.20,181
"Pan Centeno v8","7500000000687","Panaderia","2028-12-21","Marinela",23.58,470
"Bolillo v8","7500000000688","Panaderia","2026-02-23","Wonder",43.58,94
"Telera v8","7500000000689","Panaderia","2028-08-11","Silueta",8.18,499
"Baguette v8","7500000000690","Panaderia","2026-05-05","Pan Ideal",8.10,294
